id,State,Gov. Name,Address,Phone Number,Fax,Media Contact,State-Federal Contact,Gov. Website,Gov. Bio,State Website,Coronavirus Resources
0,Alabama,Gov. Kay Ivey,"                    600 Dexter Avenue, Montgomery, AL 36130-2751",                    334/242-7100,                    334/353-0004,                    334/242-7150,                    334/353-1188,https://governor.alabama.gov/,https://governor.alabama.gov/governor/,http://www.alabama.gov/,https://nga.org/coronavirus#AL
1,Alaska,Gov. Mike Dunleavy,"                    State Capitol, P.O. Box 110001, Juneau, AK, 99811-0001",                    907/465-3500,                    907/269-3031,                    202/624-5858,                    907/465-3532,https://gov.alaska.gov/,https://gov.alaska.gov/dunleavy/meet-mike-dunleavy/,http://alaska.gov/,https://nga.org/coronavirus#AK
2,American Samoa,Gov. Lemanu P. S. Mauga,"                    Executive Office Building, Third Floor, Pago Pago, AS 96799",                    684-633-4116,N/A,N/A,N/A,https://www.americansamoa.gov/,N/A,N/A,N/A
3,Arizona,Gov. Doug Ducey,"                    State Capitol, 1700 West Washington, Phoenix, AZ, 85007",                    602/542-4331,                    602/542-7601,N/A,N/A,https://azgovernor.gov/,https://azgovernor.gov/governor/meet-governor-ducey,https://az.gov/,https://nga.org/coronavirus#AZ
4,Arkansas,Gov. Asa Hutchinson,"                    State Capitol, Room 250, Little Rock, AR, 72201",                    501/682-2345,                    501/682-1382,"                    State of Arkansas, 400 North Capitol Street – Suite 365 ,Washington, DC, 20001",                    202/220-1340,https://governor.arkansas.gov/,https://governor.arkansas.gov/about/governor-hutchinson/,https://portal.arkansas.gov/,https://nga.org/coronavirus#AR
5,California,Gov. Gavin Newsom,"                    State Capitol, Sacramento, CA 95814",                    916/445-2841,                    916/558-3160,"                    State of California, 444 North Capitol Street – Suite 134, Washington, DC, 20001",                    202/624-5270,https://www.gov.ca.gov/,https://www.gov.ca.gov/about/,https://www.ca.gov/,https://nga.org/coronavirus#CA
6,Colorado,Gov. Jared Polis,"                    136 State Capitol Denver, CO 80203-1792",                    303/866-2471 ,                    303/866-2003,N/A,N/A,https://www.colorado.gov/governor/,https://www.colorado.gov/governor/gov-polis,https://www.colorado.gov/,https://nga.org/coronavirus#CO
7,Connecticut,Gov. Ned Lamont,"                    210 Capitol Avenue Hartford, CT 06106",                    800/406-1527,                    202/347-7151,N/A,N/A,https://portal.ct.gov/governor/,https://portal.ct.gov/Office-of-the-Governor/About/Governor-Ned-Lamont,https://portal.ct.gov/,https://nga.org/coronavirus#CT
8,Delaware,Gov. John Carney,"                    Legislative Hall Dover, DE 19901",                    302/744-4101 ,                    302/739-2775,N/A,N/A,https://governor.delaware.gov/,https://governor.delaware.gov/about-governor-john-carney/,https://delaware.gov/,https://nga.org/coronavirus#DE
9,Florida,Gov. Ron DeSantis,"                    PL 05 The Capitol 400 South Monroe Street Tallahassee, FL 32399-0001",                    850/488-7146 ,                    850/487-0801,N/A,N/A,https://www.flgov.com/,https://www.flgov.com/meet-governor-desantis/,http://www.myflorida.com/,https://nga.org/coronavirus#FL
